# "IdentifyDiamond.counts.HEX_DIAMOND_FIRST_NEIGHBOR" "IdentifyDiamond.counts.HEX_DIAMOND_SECOND_NEIGHBOR" "IdentifyDiamond.counts.OTHER" "Frame" "IdentifyDiamond.counts.CUBIC_DIAMOND" "IdentifyDiamond.counts.CUBIC_DIAMOND_FIRST_NEIGHBOR" "IdentifyDiamond.counts.CUBIC_DIAMOND_SECOND_NEIGHBOR" "IdentifyDiamond.counts.HEX_DIAMOND" "SourceFrame" "Timestep"
0 0 199 0 1 4 12 0 0 2200000 
0 0 199 1 1 4 12 0 1 2200100 
0 0 216 2 0 0 0 0 2 2200200 
0 0 216 3 0 0 0 0 3 2200300 
0 0 216 4 0 0 0 0 4 2200400 
0 0 216 5 0 0 0 0 5 2200500 
0 0 199 6 1 4 12 0 6 2200600 
0 0 216 7 0 0 0 0 7 2200700 
0 0 216 8 0 0 0 0 8 2200800 
0 0 216 9 0 0 0 0 9 2200900 
0 0 199 10 1 4 12 0 10 2201000 
0 0 199 11 1 4 12 0 11 2201100 
0 0 199 12 1 4 12 0 12 2201200 
0 0 216 13 0 0 0 0 13 2201300 
0 0 199 14 1 4 12 0 14 2201400 
0 0 216 15 0 0 0 0 15 2201500 
0 0 199 16 1 4 12 0 16 2201600 
0 0 216 17 0 0 0 0 17 2201700 
0 0 199 18 1 4 12 0 18 2201800 
0 0 216 19 0 0 0 0 19 2201900 
0 0 216 20 0 0 0 0 20 2202000 
0 0 199 21 1 4 12 0 21 2202100 
0 0 216 22 0 0 0 0 22 2202200 
0 0 199 23 1 4 12 0 23 2202300 
0 0 199 24 1 4 12 0 24 2202400 
0 0 216 25 0 0 0 0 25 2202500 
0 0 216 26 0 0 0 0 26 2202600 
0 0 199 27 1 4 12 0 27 2202700 
0 0 199 28 1 4 12 0 28 2202800 
0 0 216 29 0 0 0 0 29 2202900 
0 0 199 30 1 4 12 0 30 2203000 
0 0 199 31 1 4 12 0 31 2203100 
0 0 216 32 0 0 0 0 32 2203200 
0 0 216 33 0 0 0 0 33 2203300 
0 0 199 34 1 4 12 0 34 2203400 
0 0 199 35 1 4 12 0 35 2203500 
0 0 216 36 0 0 0 0 36 2203600 
0 0 216 37 0 0 0 0 37 2203700 
0 0 216 38 0 0 0 0 38 2203800 
0 0 199 39 1 4 12 0 39 2203900 
0 0 216 40 0 0 0 0 40 2204000 
0 0 199 41 1 4 12 0 41 2204100 
0 0 216 42 0 0 0 0 42 2204200 
0 0 216 43 0 0 0 0 43 2204300 
0 0 199 44 1 4 12 0 44 2204400 
0 0 216 45 0 0 0 0 45 2204500 
0 0 199 46 1 4 12 0 46 2204600 
0 0 216 47 0 0 0 0 47 2204700 
0 0 199 48 1 4 12 0 48 2204800 
0 0 199 49 1 4 12 0 49 2204900 
0 0 199 50 1 4 12 0 50 2205000 
0 0 216 51 0 0 0 0 51 2205100 
0 0 216 52 0 0 0 0 52 2205200 
0 0 199 53 1 4 12 0 53 2205300 
0 0 199 54 1 4 12 0 54 2205400 
0 0 199 55 1 4 12 0 55 2205500 
0 0 199 56 1 4 12 0 56 2205600 
0 0 216 57 0 0 0 0 57 2205700 
0 0 199 58 1 4 12 0 58 2205800 
0 0 199 59 1 4 12 0 59 2205900 
0 0 199 60 1 4 12 0 60 2206000 
0 0 216 61 0 0 0 0 61 2206100 
0 0 216 62 0 0 0 0 62 2206200 
0 0 216 63 0 0 0 0 63 2206300 
0 0 199 64 1 4 12 0 64 2206400 
0 0 216 65 0 0 0 0 65 2206500 
0 0 216 66 0 0 0 0 66 2206600 
0 0 199 67 1 4 12 0 67 2206700 
0 0 199 68 1 4 12 0 68 2206800 
0 0 199 69 1 4 12 0 69 2206900 
0 0 199 70 1 4 12 0 70 2207000 
0 0 216 71 0 0 0 0 71 2207100 
0 0 199 72 1 4 12 0 72 2207200 
0 0 216 73 0 0 0 0 73 2207300 
0 0 199 74 1 4 12 0 74 2207400 
0 0 216 75 0 0 0 0 75 2207500 
0 0 199 76 1 4 12 0 76 2207600 
0 0 216 77 0 0 0 0 77 2207700 
0 0 199 78 1 4 12 0 78 2207800 
0 0 216 79 0 0 0 0 79 2207900 
0 0 199 80 1 4 12 0 80 2208000 
0 0 216 81 0 0 0 0 81 2208100 
0 0 199 82 1 4 12 0 82 2208200 
0 0 199 83 1 4 12 0 83 2208300 
0 0 199 84 1 4 12 0 84 2208400 
0 0 216 85 0 0 0 0 85 2208500 
0 0 199 86 1 4 12 0 86 2208600 
0 0 199 87 1 4 12 0 87 2208700 
0 0 216 88 0 0 0 0 88 2208800 
4 12 199 89 0 0 0 1 89 2208900 
4 12 199 90 0 0 0 1 90 2209000 
0 0 199 91 1 4 12 0 91 2209100 
0 0 199 92 1 4 12 0 92 2209200 
0 0 199 93 1 4 12 0 93 2209300 
0 0 199 94 1 4 12 0 94 2209400 
0 0 216 95 0 0 0 0 95 2209500 
0 0 216 96 0 0 0 0 96 2209600 
0 0 216 97 0 0 0 0 97 2209700 
0 0 199 98 1 4 12 0 98 2209800 
0 0 199 99 1 4 12 0 99 2209900 
0 0 199 100 1 4 12 0 100 2210000 
0 0 199 101 1 4 12 0 101 2210100 
0 0 216 102 0 0 0 0 102 2210200 
0 0 199 103 1 4 12 0 103 2210300 
0 0 199 104 1 4 12 0 104 2210400 
0 0 216 105 0 0 0 0 105 2210500 
0 0 216 106 0 0 0 0 106 2210600 
0 0 216 107 0 0 0 0 107 2210700 
0 0 199 108 1 4 12 0 108 2210800 
0 0 216 109 0 0 0 0 109 2210900 
0 0 199 110 1 4 12 0 110 2211000 
0 0 216 111 0 0 0 0 111 2211100 
0 0 216 112 0 0 0 0 112 2211200 
0 0 216 113 0 0 0 0 113 2211300 
0 0 199 114 1 4 12 0 114 2211400 
0 0 216 115 0 0 0 0 115 2211500 
0 0 216 116 0 0 0 0 116 2211600 
0 0 199 117 1 4 12 0 117 2211700 
0 0 216 118 0 0 0 0 118 2211800 
0 0 199 119 1 4 12 0 119 2211900 
0 0 216 120 0 0 0 0 120 2212000 
0 0 216 121 0 0 0 0 121 2212100 
0 0 199 122 1 4 12 0 122 2212200 
0 0 216 123 0 0 0 0 123 2212300 
0 0 199 124 1 4 12 0 124 2212400 
0 0 199 125 1 4 12 0 125 2212500 
0 0 216 126 0 0 0 0 126 2212600 
0 0 199 127 1 4 12 0 127 2212700 
0 0 216 128 0 0 0 0 128 2212800 
0 0 199 129 1 4 12 0 129 2212900 
0 0 199 130 1 4 12 0 130 2213000 
4 12 182 131 1 4 12 1 131 2213100 
4 12 182 132 1 4 12 1 132 2213200 
0 0 216 133 0 0 0 0 133 2213300 
0 0 199 134 1 4 12 0 134 2213400 
0 0 199 135 1 4 12 0 135 2213500 
4 12 199 136 0 0 0 1 136 2213600 
0 0 199 137 1 4 12 0 137 2213700 
0 0 216 138 0 0 0 0 138 2213800 
0 0 216 139 0 0 0 0 139 2213900 
0 0 199 140 1 4 12 0 140 2214000 
0 0 216 141 0 0 0 0 141 2214100 
0 0 216 142 0 0 0 0 142 2214200 
0 0 216 143 0 0 0 0 143 2214300 
0 0 199 144 1 4 12 0 144 2214400 
0 0 199 145 1 4 12 0 145 2214500 
0 0 199 146 1 4 12 0 146 2214600 
0 0 216 147 0 0 0 0 147 2214700 
0 0 199 148 1 4 12 0 148 2214800 
0 0 216 149 0 0 0 0 149 2214900 
0 0 216 150 0 0 0 0 150 2215000 
0 0 199 151 1 4 12 0 151 2215100 
0 0 199 152 1 4 12 0 152 2215200 
0 0 216 153 0 0 0 0 153 2215300 
0 0 199 154 1 4 12 0 154 2215400 
0 0 216 155 0 0 0 0 155 2215500 
0 0 199 156 1 4 12 0 156 2215600 
0 0 216 157 0 0 0 0 157 2215700 
0 0 216 158 0 0 0 0 158 2215800 
0 0 199 159 1 4 12 0 159 2215900 
0 0 216 160 0 0 0 0 160 2216000 
0 0 199 161 1 4 12 0 161 2216100 
0 0 199 162 1 4 12 0 162 2216200 
0 0 216 163 0 0 0 0 163 2216300 
0 0 216 164 0 0 0 0 164 2216400 
0 0 199 165 1 4 12 0 165 2216500 
0 0 199 166 1 4 12 0 166 2216600 
0 0 216 167 0 0 0 0 167 2216700 
0 0 199 168 1 4 12 0 168 2216800 
0 0 199 169 1 4 12 0 169 2216900 
0 0 216 170 0 0 0 0 170 2217000 
0 0 216 171 0 0 0 0 171 2217100 
0 0 216 172 0 0 0 0 172 2217200 
0 0 216 173 0 0 0 0 173 2217300 
0 0 199 174 1 4 12 0 174 2217400 
0 0 216 175 0 0 0 0 175 2217500 
0 0 199 176 1 4 12 0 176 2217600 
0 0 199 177 1 4 12 0 177 2217700 
0 0 216 178 0 0 0 0 178 2217800 
0 0 199 179 1 4 12 0 179 2217900 
0 0 199 180 1 4 12 0 180 2218000 
0 0 199 181 1 4 12 0 181 2218100 
4 12 182 182 1 4 12 1 182 2218200 
0 0 216 183 0 0 0 0 183 2218300 
0 0 216 184 0 0 0 0 184 2218400 
0 0 199 185 1 4 12 0 185 2218500 
0 0 199 186 1 4 12 0 186 2218600 
0 0 199 187 1 4 12 0 187 2218700 
0 0 216 188 0 0 0 0 188 2218800 
0 0 199 189 1 4 12 0 189 2218900 
0 0 199 190 1 4 12 0 190 2219000 
0 0 216 191 0 0 0 0 191 2219100 
0 0 216 192 0 0 0 0 192 2219200 
0 0 216 193 0 0 0 0 193 2219300 
0 0 199 194 1 4 12 0 194 2219400 
0 0 199 195 1 4 12 0 195 2219500 
0 0 216 196 0 0 0 0 196 2219600 
0 0 199 197 1 4 12 0 197 2219700 
0 0 199 198 1 4 12 0 198 2219800 
0 0 199 199 1 4 12 0 199 2219900 
0 0 216 200 0 0 0 0 200 2220000 
0 0 216 201 0 0 0 0 201 2220100 
4 11 184 202 1 4 11 1 202 2220200 
0 0 216 203 0 0 0 0 203 2220300 
0 0 199 204 1 4 12 0 204 2220400 
0 0 199 205 1 4 12 0 205 2220500 
0 0 216 206 0 0 0 0 206 2220600 
0 0 216 207 0 0 0 0 207 2220700 
0 0 199 208 1 4 12 0 208 2220800 
0 0 199 209 1 4 12 0 209 2220900 
0 0 199 210 1 4 12 0 210 2221000 
0 0 216 211 0 0 0 0 211 2221100 
0 0 199 212 1 4 12 0 212 2221200 
0 0 216 213 0 0 0 0 213 2221300 
0 0 199 214 1 4 12 0 214 2221400 
0 0 216 215 0 0 0 0 215 2221500 
0 0 199 216 1 4 12 0 216 2221600 
0 0 199 217 1 4 12 0 217 2221700 
0 0 216 218 0 0 0 0 218 2221800 
0 0 216 219 0 0 0 0 219 2221900 
0 0 216 220 0 0 0 0 220 2222000 
0 0 216 221 0 0 0 0 221 2222100 
0 0 216 222 0 0 0 0 222 2222200 
0 0 199 223 1 4 12 0 223 2222300 
0 0 216 224 0 0 0 0 224 2222400 
0 0 216 225 0 0 0 0 225 2222500 
0 0 199 226 1 4 12 0 226 2222600 
0 0 199 227 1 4 12 0 227 2222700 
0 0 216 228 0 0 0 0 228 2222800 
0 0 199 229 1 4 12 0 229 2222900 
0 0 199 230 1 4 12 0 230 2223000 
0 0 216 231 0 0 0 0 231 2223100 
0 0 199 232 1 4 12 0 232 2223200 
0 0 199 233 1 4 12 0 233 2223300 
0 0 199 234 1 4 12 0 234 2223400 
4 12 199 235 0 0 0 1 235 2223500 
0 0 216 236 0 0 0 0 236 2223600 
0 0 199 237 1 4 12 0 237 2223700 
0 0 216 238 0 0 0 0 238 2223800 
0 0 199 239 1 4 12 0 239 2223900 
0 0 216 240 0 0 0 0 240 2224000 
0 0 199 241 1 4 12 0 241 2224100 
0 0 216 242 0 0 0 0 242 2224200 
0 0 199 243 1 4 12 0 243 2224300 
0 0 216 244 0 0 0 0 244 2224400 
0 0 216 245 0 0 0 0 245 2224500 
0 0 199 246 1 4 12 0 246 2224600 
0 0 216 247 0 0 0 0 247 2224700 
0 0 216 248 0 0 0 0 248 2224800 
0 0 199 249 1 4 12 0 249 2224900 
0 0 199 250 1 4 12 0 250 2225000 
0 0 216 251 0 0 0 0 251 2225100 
0 0 216 252 0 0 0 0 252 2225200 
0 0 199 253 1 4 12 0 253 2225300 
0 0 216 254 0 0 0 0 254 2225400 
0 0 199 255 1 4 12 0 255 2225500 
0 0 199 256 1 4 12 0 256 2225600 
0 0 199 257 1 4 12 0 257 2225700 
0 0 199 258 1 4 12 0 258 2225800 
0 0 199 259 1 4 12 0 259 2225900 
0 0 199 260 1 4 12 0 260 2226000 
0 0 199 261 1 4 12 0 261 2226100 
0 0 199 262 1 4 12 0 262 2226200 
0 0 199 263 1 4 12 0 263 2226300 
0 0 216 264 0 0 0 0 264 2226400 
4 12 199 265 0 0 0 1 265 2226500 
0 0 216 266 0 0 0 0 266 2226600 
0 0 199 267 1 4 12 0 267 2226700 
0 0 199 268 1 4 12 0 268 2226800 
0 0 199 269 1 4 12 0 269 2226900 
0 0 216 270 0 0 0 0 270 2227000 
0 0 199 271 1 4 12 0 271 2227100 
4 12 199 272 0 0 0 1 272 2227200 
0 0 216 273 0 0 0 0 273 2227300 
0 0 199 274 1 4 12 0 274 2227400 
0 0 216 275 0 0 0 0 275 2227500 
0 0 199 276 1 4 12 0 276 2227600 
0 0 216 277 0 0 0 0 277 2227700 
0 0 199 278 1 4 12 0 278 2227800 
0 0 199 279 1 4 12 0 279 2227900 
0 0 216 280 0 0 0 0 280 2228000 
0 0 199 281 1 4 12 0 281 2228100 
0 0 199 282 1 4 12 0 282 2228200 
0 0 199 283 1 4 12 0 283 2228300 
0 0 199 284 1 4 12 0 284 2228400 
0 0 216 285 0 0 0 0 285 2228500 
0 0 216 286 0 0 0 0 286 2228600 
0 0 199 287 1 4 12 0 287 2228700 
0 0 199 288 1 4 12 0 288 2228800 
0 0 216 289 0 0 0 0 289 2228900 
0 0 216 290 0 0 0 0 290 2229000 
0 0 199 291 1 4 12 0 291 2229100 
0 0 216 292 0 0 0 0 292 2229200 
0 0 199 293 1 4 12 0 293 2229300 
0 0 199 294 1 4 12 0 294 2229400 
0 0 199 295 1 4 12 0 295 2229500 
0 0 216 296 0 0 0 0 296 2229600 
0 0 199 297 1 4 12 0 297 2229700 
0 0 199 298 1 4 12 0 298 2229800 
0 0 216 299 0 0 0 0 299 2229900 
0 0 216 300 0 0 0 0 300 2230000 
0 0 216 301 0 0 0 0 301 2230100 
0 0 199 302 1 4 12 0 302 2230200 
0 0 216 303 0 0 0 0 303 2230300 
0 0 216 304 0 0 0 0 304 2230400 
0 0 216 305 0 0 0 0 305 2230500 
0 0 216 306 0 0 0 0 306 2230600 
0 0 216 307 0 0 0 0 307 2230700 
0 0 199 308 1 4 12 0 308 2230800 
0 0 216 309 0 0 0 0 309 2230900 
0 0 199 310 1 4 12 0 310 2231000 
0 0 199 311 1 4 12 0 311 2231100 
0 0 216 312 0 0 0 0 312 2231200 
0 0 216 313 0 0 0 0 313 2231300 
0 0 216 314 0 0 0 0 314 2231400 
0 0 199 315 1 4 12 0 315 2231500 
0 0 199 316 1 4 12 0 316 2231600 
0 0 199 317 1 4 12 0 317 2231700 
0 0 199 318 1 4 12 0 318 2231800 
0 0 199 319 1 4 12 0 319 2231900 
0 0 199 320 1 4 12 0 320 2232000 
0 0 199 321 1 4 12 0 321 2232100 
0 0 199 322 1 4 12 0 322 2232200 
0 0 216 323 0 0 0 0 323 2232300 
0 0 199 324 1 4 12 0 324 2232400 
0 0 199 325 1 4 12 0 325 2232500 
0 0 216 326 0 0 0 0 326 2232600 
0 0 199 327 1 4 12 0 327 2232700 
4 12 199 328 0 0 0 1 328 2232800 
0 0 216 329 0 0 0 0 329 2232900 
