LAMMPS (12 Jun 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.08237604 -0.08237604 -0.08237604) to (16.375376 16.375376 16.375376)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  216 atoms
  reading velocities ...
  216 velocities
  read_data CPU = 0.390 seconds
The scaling is : 6.00e-02.
There are 2 species.
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.7
  ghost atom cutoff = 7.7
  binsize = 3.85, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mtp, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.075 | 3.075 | 3.076 Mbytes
   Step          Temp          Press          Volume         PotEng    
         0   2583.5079     -12979.848      4457.7073     -137156.55    
       100   2558.6272      267.85949      4416.7982     -137159.94    
       200   2411.0045     -11971.444      4346.2969     -137164.38    
       300   2605.3048      5953.6135      4234.2496     -137172.06    
       400   2501.2025      18242.415      4189.8327     -137169.35    
       500   2310.0352     -2720.4387      4250.5233     -137162.17    
       600   2713.1167     -764.32153      4325.421      -137164.23    
       700   2636.2612     -1067.5695      4392.9177     -137158.51    
       800   2602.6804     -5429.8231      4432.7684     -137159.58    
       900   2511.7028     -8394.4715      4431.1725     -137159.03    
      1000   2720.5525     -7439.8365      4369.4646     -137165.91    
      1100   2252.4417      4284.8725      4290.3085     -137161.67    
      1200   2384.8559      5941.6024      4234.7846     -137168.66    
      1300   2329.5251      653.36567      4219.9461     -137161.93    
      1400   2574.0231      6296.2949      4221.022      -137163.05    
      1500   2616.7613      5144.3915      4271.8028     -137164.84    
      1600   2423.3678     -14591.51       4353.0811     -137162.15    
      1700   2399.6998      697.91692      4369.7338     -137162.4     
      1800   2475.7364     -3069.147       4372.9125     -137161.63    
      1900   2638.0462     -10153.346      4347.1953     -137159.59    
      2000   2810.8793      3790.3931      4268.904      -137164.73    
      2100   2409.8468      1793.7057      4216.8324     -137163.25    
      2200   2480.5013      2307.9952      4192.3012     -137166.78    
      2300   2522.4615      7511.8419      4203.2249     -137165.45    
      2400   2634.1176      3166.8011      4247.9385     -137166.1     
      2500   2472.3477      6271.2819      4328.399      -137157.44    
      2600   2807.4919     -1952.3484      4429.9335     -137161.97    
      2700   2397.2255     -10545.684      4520.5575     -137154.27    
      2800   2443.7317     -9336.7299      4516.3989     -137160.25    
      2900   2412.4395     -13317.348      4427.1933     -137159.97    
      3000   2810.9704      6940.9727      4282.7467     -137164.11    
      3100   2777.6713      11616.026      4200.6851     -137165.36    
      3200   2463.8601      3650.2449      4207.1085     -137165.39    
      3300   2486.758       5590.0028      4257.3477     -137166.74    
      3400   2630.1977     -12313.721      4330.3181     -137167.2     
      3500   2668.5121     -1436.8704      4369.2416     -137160.41    
      3600   2635.1977     -8790.3825      4409.0605     -137159       
      3700   2518.5477     -4963.9884      4420.6819     -137157.12    
      3800   2545.3636     -9464.5882      4385.341      -137158.97    
      3900   2539.4258      9465.1856      4308.237      -137161.05    
      4000   2430.9367      5575.6076      4280.7014     -137163.8     
      4100   2199.7996      4025.6011      4277.4769     -137164.47    
      4200   2439.0038     -2670.6826      4281.2995     -137166.56    
      4300   2413.3301     -1470.6835      4260.0345     -137162.61    
      4400   2623.6942      7280.7459      4230.1077     -137166.46    
      4500   2430.113      -2186.4945      4247.26       -137163.95    
      4600   2237.123       4745.0153      4275.77       -137165.49    
      4700   2177.7969     -5571.5024      4319.4939     -137167.25    
      4800   2278.7899     -1700.3262      4330.4377     -137160.13    
      4900   2534.4231     -231.49422      4317.7811     -137161.28    
      5000   2599.5885      5414.8218      4324.3828     -137159.42    
      5100   2515.957      -5454.592       4362.7783     -137160.62    
      5200   2292.2868     -2658.6068      4383.2198     -137160.28    
      5300   2285.4938      2326.8414      4386.8667     -137159.79    
