LAMMPS (12 Jun 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.08237604 -0.08237604 -0.08237604) to (16.375376 16.375376 16.375376)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  216 atoms
  reading velocities ...
  216 velocities
  read_data CPU = 0.322 seconds
The scaling is : 3.41e-02.
There are 2 species.
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.7
  ghost atom cutoff = 7.7
  binsize = 3.85, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mtp, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.075 | 3.075 | 3.076 Mbytes
   Step          Temp          Press          Volume         PotEng    
         0   2583.5079     -10400.338      4457.7073     -137160.04    
       100   2513.6075      3113.0869      4431.7824     -137162.85    
       200   2513.7578     -3575.8452      4402.1331     -137170.39    
       300   2286.6869     -4565.9863      4352.843      -137164.44    
       400   2574.9208      11922.493      4281.5626     -137167.32    
       500   2543.3042      14349.385      4279.0349     -137166.87    
       600   2410.0571     -2837.1746      4355.719      -137169.61    
       700   2021.701      -6858.0083      4437.462      -137163.62    
       800   2566.0369      346.72908      4444.0545     -137166.39    
       900   2558.6017      1659.6825      4426.4714     -137162.21    
      1000   2451.4065     -2183.9843      4415.7827     -137161.08    
      1100   2424.2523     -6295.6135      4363.7764     -137164.29    
      1200   2433.2031      4674.1522      4285.6384     -137165.88    
      1300   2642.9585      6424.4125      4239.4361     -137172.17    
      1400   2341.3836      8540.734       4263.3775     -137167.84    
      1500   2522.1748      77.325246      4360.4317     -137171.02    
      1600   2592.0044     -4036.3117      4454.4528     -137163.89    
      1700   2584.8025     -5633.0399      4503.316      -137160.62    
      1800   2464.7797     -2987.261       4517.9142     -137158.61    
      1900   2504.8195     -13544.606      4479.1669     -137166.99    
      2000   2353.8189     -1645.9488      4377.2644     -137169.83    
      2100   2507.3862      5405.5062      4281.4421     -137171.46    
      2200   2625.8938      17767.794      4247.9574     -137171.52    
      2300   2461.8343      6677.2537      4320.8083     -137166.19    
      2400   2424.5108     -1463.4947      4418.2407     -137165.67    
      2500   2363.4065     -15761.731      4464.926      -137165.58    
      2600   2424.2614     -3863.6304      4422.636      -137161.54    
      2700   2638.5698      16504.339      4351.8987     -137162.28    
      2800   2568.3735      9251.4907      4365.7614     -137164.4     
      2900   2383.7638     -3287.3196      4421.6814     -137165.24    
      3000   2452.8246     -11296.996      4451.7958     -137164.76    
      3100   2601.461      -1486.4415      4440.6811     -137166.16    
      3200   2453.6637      5289.0491      4442.3141     -137161.54    
      3300   2653.5241     -6683.9821      4457.5687     -137164.5     
      3400   2633.8143     -969.62366      4430.1142     -137161.43    
      3500   2718.0885      4814.5615      4395.1305     -137164.68    
      3600   2388.8483     -1731.071       4394.1924     -137165.62    
      3700   2257.4425      2095.6869      4390.884      -137161.21    
      3800   2591.5384      3782.9093      4378.7942     -137164.43    
      3900   2613.5275     -10892.046      4386.2852     -137166.66    
      4000   2372.7784      3281.8244      4357.6033     -137168.2     
      4100   2441.1119     -3439.4485      4324.0502     -137174.02    
      4200   2292.968       1016.2915      4280.0148     -137163.45    
      4300   2623.5785      20872.72       4250.7618     -137165.26    
      4400   2477.3994     -5376.1551      4327.6802     -137166.3     
