LAMMPS (12 Jun 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 5.431 5.431 5.431
Created orthogonal box = (0 0 0) to (16.293 16.293 16.293)
  2 by 2 by 2 MPI processor grid
Created 216 atoms
  using lattice units in orthogonal box = (0 0 0) to (16.293 16.293 16.293)
  create_atoms CPU = 0.001 seconds
The scaling is : 7.14e-02.
There are 2 species.
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.7
  ghost atom cutoff = 7.7
  binsize = 3.85, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mtp, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.077 | 3.077 | 3.077 Mbytes
   Step          Temp          Press          Volume         PotEng    
         0   300            20547.828      4325.1699     -137320.69    
       100   178.69478     -14736.468      4510.5902     -137316.53    
       200   147.72868      11749.556      4370.9571     -137314.06    
       300   224.56913     -5496.964       4457.2633     -137314.13    
       400   276.83736     -1709.2412      4432.3976     -137313.26    
       500   251.73656      2286.0997      4423.2279     -137310.14    
       600   361.41045     -3710.68        4458.2585     -137311.22    
       700   419.69439      4506.041       4409.7015     -137311.81    
       800   405.71689     -5767.8518      4470.1005     -137311.55    
       900   378.84054      8229.5264      4403.6677     -137311.48    
      1000   408.89701     -2558.4734      4454.7602     -137312.64    
      1100   405.24879      4503.4939      4417.56       -137311.84    
      1200   396.85972     -504.36288      4442.3963     -137310.31    
      1300   352.40315     -1429.8217      4440.9986     -137308       
      1400   386.57637     -2537.7241      4445.1556     -137308.62    
      1500   445.38651     -1101.8158      4444.4981     -137310.4     
      1600   359.82665      1436.4183      4430.702      -137308.55    
      1700   412.25037     -1545.2844      4454.8814     -137309.48    
      1800   443.4275       4533.9157      4418.9773     -137309.27    
      1900   443.34926     -4949.2934      4471.8399     -137308.3     
      2000   493.39578      6701.3762      4413.0415     -137309.17    
      2100   518.15393     -3397.2665      4464.5439     -137309.69    
      2200   452.59023      3682.332       4427.8752     -137307.61    
      2300   479.72712     -2007.3758      4450.6967     -137307.82    
      2400   496.93805     -1525.7166      4450.0126     -137307.43    
      2500   431.03154      506.80452      4439.1295     -137305.19    
      2600   519.85098     -3348.0921      4464.3635     -137307.34    
      2700   502.07065      5694.1736      4419.4578     -137307.26    
      2800   461.02726     -4756.8653      4473.126      -137306.7     
      2900   526.22706      6341.0718      4416.2356     -137308.1     
      3000   554.24523     -2335.5986      4465.7869     -137307.03    
      3100   596.20413      2176.7207      4440.2885     -137307.46    
      3200   581.18367      3368.1963      4441.4162     -137306.8     
      3300   532.64719     -2278.4422      4463.503      -137305.75    
      3400   552.73353      862.26086      4440.6003     -137306.1     
      3500   518.40861     -3607.6148      4466.1221     -137304.13    
      3600   563.82197      2039.4212      4445.7401     -137303.99    
