LAMMPS (12 Jun 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.00071088909 -0.00071088909 -0.00071088909) to (16.293711 16.293711 16.293711)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  216 atoms
  reading velocities ...
  216 velocities
  read_data CPU = 0.087 seconds
The scaling is : 6.00e-02.
There are 2 species.
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.7
  ghost atom cutoff = 7.7
  binsize = 3.85, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mtp, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.076 | 3.077 | 3.078 Mbytes
   Step          Temp          Press          Volume         PotEng    
         0   2467.3087     -2277.9216      4326.3023     -137164.6     
       100   2450.2856     -7932.7376      4326.0017     -137160.77    
       200   2642.9607      5819.1616      4295.3866     -137157.63    
       300   2628.2739      9834.0419      4302.0821     -137156.51    
       400   2595.6166     -11461.406      4345.1484     -137159.84    
       500   2497.897      -962.97079      4333.0586     -137160.15    
       600   2503.7803      1906.4385      4300.3257     -137164.43    
       700   2531.3619     -4087.8934      4282.2702     -137170.87    
       800   2378.863      -3386.7547      4258.0875     -137166.53    
       900   2744.637       5172.2712      4226.9519     -137165.21    
      1000   2652.6318      3602.4675      4243.2093     -137164.42    
      1100   2447.956      -3881.0862      4294.8935     -137163.1     
      1200   2413.1471     -7162.1154      4361.6932     -137162.05    
      1300   2680.712       3981.7587      4406.9562     -137157.65    
      1400   2616.0319     -9845.5008      4439.2517     -137157.42    
      1500   2521.6622     -5428.1711      4422.2069     -137159.13    
      1600   2453.5853      3709.3631      4374.9912     -137158.19    
      1700   2608.003       10949.793      4354.7256     -137162.97    
      1800   2331.1498     -944.543        4374.5454     -137164.51    
      1900   2246.7698     -14935.665      4357.0579     -137164.61    
      2000   2364.5238      4400.8677      4222.0763     -137163.73    
      2100   2767.0941      21539.73       4091.0819     -137169.34    
      2200   2586.1671      12756.995      4115.1522     -137167.96    
      2300   2240.7297     -3148.2861      4238.6106     -137165.89    
      2400   2372.9786     -11856.562      4363.6686     -137165.52    
      2500   2481.7407     -10048.091      4430.7983     -137163.23    
      2600   2405.5174     -3422.9682      4414.779      -137158.19    
      2700   2484.4828      5856.8863      4363.3907     -137155.97    
      2800   2730.6327     -3630.6064      4331.1463     -137163.71    
      2900   2306.3058      825.39193      4291.782      -137161.44    
      3000   2480.6693      8060.2027      4258.4773     -137164.77    
      3100   2325.1019      7033.763       4273.9104     -137159.48    
      3200   2551.3677     -3522.1689      4315.7058     -137163.83    
      3300   2751.8979     -41.018642      4364.9114     -137160.4     
      3400   2830.7686     -10148.275      4437.8583     -137157.29    
      3500   2592.5732     -9581.8948      4477.5518     -137157.49    
      3600   2472.912      -4387.1556      4452.6471     -137158.86    
      3700   2554.3864      698.73611      4380.7824     -137161.73    
      3800   2538.6364     -2221.0834      4328.2505     -137162.09    
      3900   2136.5365      10423.556      4287.0946     -137157.53    
      4000   2349.4292     -6686.0678      4268.5486     -137166.11    
      4100   2768.8607      10836.992      4238.299      -137168.01    
      4200   2590.1273      7416.3625      4277.7745     -137162.71    
      4300   2459.3885     -12069.511      4373.4791     -137162.78    
      4400   2378.736       553.13059      4422.6558     -137160.83    
      4500   2406.8436     -12573.528      4442.8696     -137158.47    
      4600   2641.1307      1098.0986      4386.6073     -137163.71    
      4700   2421.872       1455.9145      4339.251      -137158.71    
      4800   2523.2265     -1440.8263      4307.4721     -137163.84    
