LAMMPS (12 Jun 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.093421461 -0.093421461 -0.093421461) to (16.386421 16.386421 16.386421)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  216 atoms
  reading velocities ...
  216 velocities
  read_data CPU = 0.042 seconds
The scaling is : 3.41e-02.
There are 2 species.
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.7
  ghost atom cutoff = 7.7
  binsize = 3.85, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mtp, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.076 | 3.076 | 3.077 Mbytes
   Step          Temp          Press          Volume         PotEng    
         0   2473.3714     -5441.2796      4475.6818     -137165.6     
       100   2552.4099     -4355.5327      4432.349      -137167.56    
       200   2513.4541      2530.3882      4356.2385     -137165.89    
       300   2527.7547     -4195.8966      4291.8606     -137168.18    
       400   2502.8967      11742.363      4233.6367     -137171.1     
       500   2350.6612      11692.267      4265.755      -137171.7     
       600   2413.7582     -6203.8094      4368.8316     -137169.79    
       700   2629.133      -3814.9137      4428.615      -137165.89    
       800   2502.3373      1664.8144      4471.1268     -137160.7     
       900   2417.5235     -11067.582      4493.7711     -137158.28    
      1000   2647.1292     -6868.258       4460.2253     -137160.83    
      1100   2731.5565      3765.6304      4417.5237     -137158.69    
      1200   2653.4724     -2390.1256      4424.3431     -137159.41    
      1300   2452.4809     -7657.6841      4437.876      -137163.58    
      1400   2419.9631     -672.06414      4404.8228     -137164.02    
      1500   2630.8924      3486.5563      4377.5729     -137165.75    
      1600   2556.2669      5585.8265      4403.5289     -137158.17    
      1700   2759.1851     -273.858        4454.7795     -137158.67    
      1800   2533.8568     -4411.5958      4506.5591     -137157.83    
      1900   2377.9944     -763.54771      4511.8126     -137161.52    
      2000   2326.5908     -5653.6029      4473.3604     -137162.65    
      2100   2520.9106      6506.0935      4399.9017     -137162.79    
      2200   2756.7206      6904.9         4354.8695     -137164.22    
      2300   2632.5398     -5235.4754      4345.2764     -137165.05    
      2400   2561.7199     -2761.0988      4332.7014     -137166.25    
      2500   2484.3702      752.8545       4333.4413     -137165.4     
      2600   2537.2469     -7189.6005      4349.7514     -137167.63    
      2700   2422.3632     -2369.3027      4354.3554     -137167.3     
      2800   2379.8474     -1588.2128      4359.0269     -137166.75    
      2900   2481.1947      6591.0971      4351.6025     -137165.26    
      3000   2621.0701      2769.8679      4360.3534     -137162.85    
      3100   2638.913      -5815.7743      4375.8884     -137166.15    
      3200   2368.5509     -6748.4312      4382.196      -137165.15    
      3300   2410.4257      2096.9988      4362.8768     -137166.78    
      3400   2558.169       2391.6729      4352.6273     -137169.23    
      3500   2556.6103      4054.6517      4361.8407     -137169.19    
      3600   2469.4649      5436.0994      4404.4402     -137166.79    
      3700   2390.0803     -3483.455       4475.2214     -137159.4     
      3800   2682.0342     -8821.593       4522.0528     -137159.14    
      3900   2553.6396      2991.4486      4521.0891     -137157.27    
      4000   2559.0969      1111.699       4488.3059     -137163.39    
      4100   2543.0725     -4210.9068      4455.6987     -137164.26    
      4200   2558.9201     -7005.999       4400.2894     -137165.56    
      4300   2380.6606      1481.9404      4311.4836     -137167.16    
      4400   2498.8125     -3290.4163      4256.1092     -137176.92    
      4500   2292.4118      10069.597      4223.3902     -137171.15    
      4600   2584.2723      9952.0847      4236.0646     -137166.61    
      4700   2533.2565      5470.238       4300.0871     -137164.94    
      4800   2448.8273     -3137.3201      4395.9418     -137167.45    
      4900   2400.1426     -19107.082      4479.6522     -137166.14    
      5000   2630.8023     -4055.894       4470.0867     -137163.65    
      5100   2642.5101     -6267.9528      4435.4571     -137164.23    
      5200   2557.8635      1670.8188      4406.9862     -137166.09    
      5300   2482.1257     -4064.3594      4400.1495     -137167.97    
      5400   2479.9702      2519.2228      4377.2772     -137169.09    
      5500   2613.0096      4579.2044      4362.2862     -137169.08    
      5600   2785.9734      1353.0852      4371.9576     -137166.3     
      5700   2490.1653      8885.0558      4402.2327     -137161.04    
      5800   2290.1264     -2275.5065      4452.2623     -137161.6     
      5900   2295.4715      729.57558      4449.6134     -137161.72    
      6000   2614.5504      2820.0843      4426.0626     -137158.74    
      6100   2553.1463      12635.168      4423.8585     -137157.08    
      6200   2428.937      -1249.0246      4442.6813     -137161.48    
      6300   2328.0489     -2141.4934      4430.1264     -137161.52    
      6400   2486.6006      2438.3885      4408.0115     -137165       
      6500   2509.7794     -288.04039      4389.1525     -137166.36    
      6600   2364.2514     -700.72027      4373.5491     -137170.39    
      6700   2397.0723     -5885.2861      4356.2167     -137172.59    
      6800   2433.852       168.81438      4317.2681     -137166.52    
      6900   2667.2077      8679.6453      4277.4308     -137168.13    
      7000   2550.5169      11042.511      4287.7937     -137166.25    
      7100   2433.134       3542.0033      4358.3368     -137164.68    
      7200   2483.4111     -9329.5158      4428.1474     -137164.74    
      7300   2646.9192     -7400.015       4447.6837     -137160.58    
      7400   2723.7341     -4533.5953      4425.2188     -137160.86    
      7500   2572.6582     -1666.7385      4384.2343     -137164.76    
      7600   2350.1514     -13007.328      4331.9969     -137164.07    
      7700   2647.7888      8778.3115      4228.7178     -137170.7     
      7800   2522.525       17576.3        4194.9201     -137170.99    
      7900   2290.8526      2589.5229      4247.584      -137171.63    
      8000   2342.6144      5784.2381      4327.8819     -137170.5     
      8100   2340.2916     -11188.531      4438.9672     -137165.57    
      8200   2537.8329     -9489.9764      4489.9822     -137164.15    
      8300   2570.8607     -7430.9629      4494.2955     -137160.77    
      8400   2602.1124      4990.6351      4450.697      -137162.06    
      8500   2411.9067      453.56914      4424.9787     -137165.65    
      8600   2461.891      -10931.603      4406.7566     -137169.88    
      8700   2326.851      -2519.0958      4375.66       -137163.09    
      8800   2614.5351      6644.2499      4334.471      -137166.52    
      8900   2712.7863     -1958.4161      4335.8441     -137170.72    
      9000   2257.5007     -6066.2753      4365.731      -137164.51    
      9100   2452.8017      600.21881      4377.5085     -137167.89    
      9200   2532.0834      8152.1916      4376.6018     -137167.44    
      9300   2556.3061     -14998.314      4400.0262     -137165.6     
      9400   2631.85       -2869.4503      4403.9948     -137165.99    
      9500   2363.3298      1500.4046      4402.8857     -137161.63    
      9600   2341.0505      941.80176      4397.9803     -137164.9     
      9700   2379.31       -4395.645       4380.3556     -137165.75    
      9800   2583.1464      11132.342      4321.9966     -137163.4     
      9900   2687.9393      10659.966      4314.2824     -137163.32    
     10000   2624.0553     -529.40987      4373.0779     -137168.47    
     10100   2346.0323     -6411.2085      4440.9008     -137162.83    
     10200   2420.1328     -7300.3894      4468.1057     -137160.68    
     10300   2565.3247      454.86472      4464.3989     -137158.01    
     10400   2688.8749     -8067.9963      4432.3029     -137162.8     
     10500   2669.272      -2020.3946      4339.5842     -137168.8     
     10600   2499.7192      20649.575      4273.7796     -137168.37    
     10700   2398.4115      1129.1246      4322.1278     -137169.53    
     10800   2433.2438     -2507.143       4387.3869     -137170.33    
     10900   2554.8804     -1111.2597      4428.6413     -137166.81    
     11000   2727.1792     -1539.5419      4447.6092     -137162.34    
     11100   2557.9827     -3642.0894      4450.1657     -137159.26    
     11200   2557.5711     -6064.2786      4420.0835     -137163.88    
     11300   2435.472       356.11531      4350.0576     -137167.08    
     11400   2380.7621      12689.425      4293.049      -137167.29    
     11500   2494.8708     -1398.9794      4298.2718     -137168.05    
     11600   2747.3426      13267.691      4331.538      -137163.25    
     11700   2541.319      -2971.1297      4433.0137     -137158.56    
     11800   2439.9787     -8912.3944      4526.9263     -137160.49    
     11900   2387.941      -8600.8339      4536.5321     -137161.13    
     12000   2536.3899     -2891.5614      4478.6389     -137162.25    
     12100   2833.8074      25475.954      4430.5422     -137161.13    
     12200   2795.4628     -3682.8259      4497.3462     -137161.12    
     12300   2391.9874     -8754.7498      4548.725      -137157.74    
     12400   2522.3113     -7100.7851      4519.8713     -137160.1     
     12500   2595.7332      10700.994      4455.3661     -137160.34    
     12600   2506.8098     -8477.6415      4398.866      -137166.19    
     12700   2404.0353      8955.8696      4292.7025     -137170.4     
     12800   2527.8646      3425.8283      4217.2177     -137173       
     12900   2662.0851      11719.679      4192.8238     -137172.8     
     13000   2649.1778     -1215.6062      4246.1243     -137170.71    
     13100   2571.3448     -2634.6954      4337.6204     -137166.67    
     13200   2532.2896     -8098.009       4423.97       -137165.06    
     13300   2474.7416     -2939.6325      4462.4124     -137165.53    
     13400   2466.3199     -19689.145      4466.794      -137165.65    
     13500   2693.4785      5804.4588      4384.0125     -137166.89    
     13600   2760.7642      5951.5865      4323.7707     -137166.02    
     13700   2557.4747      3890.5754      4309.076      -137170.52    
     13800   2226.8084     -2250.4194      4325.2783     -137166.15    
     13900   2435.8888     -2597.9894      4330.0465     -137168.25    
     14000   2623.3486      3181.2376      4346.8921     -137167.22    
     14100   2335.5441      9917.7259      4399.0455     -137157.91    
     14200   2690.907      -12197.35       4474.0919     -137166.09    
     14300   2509.2875     -11216.37       4498.4497     -137161.65    
     14400   2506.8697      2205.5521      4472.4946     -137157.74    
     14500   2719.1144      2896.1325      4430.664      -137164.41    
     14600   2402.6853      869.42872      4389.7761     -137164.26    
     14700   2379.3795     -4267.9388      4334.5739     -137168.16    
     14800   2378.6335      3104.2568      4285.0511     -137167.03    
     14900   2409.8824      14595.004      4268.1313     -137160.37    
     15000   2712.5389      9190.0771      4312.1581     -137163.44    
     15100   2515.004       719.68584      4409.9083     -137162.55    
     15200   2454.2789     -3464.9823      4514.2771     -137163.25    
     15300   2358.3581     -10853.493      4563.615      -137159.13    
     15400   2658.6476     -11506.957      4505.4227     -137161.36    
     15500   2749.7649      11595.064      4395.9817     -137160.76    
     15600   2567.358      -3838.2028      4333.1491     -137169.62    
     15700   2403.3513      6835.1352      4298.5608     -137169.08    
     15800   2450.8118      408.89411      4310.2648     -137167.56    
     15900   2599.8673      4114.4166      4324.0857     -137167.54    
     16000   2509.3114     -2813.1843      4356.1019     -137164.21    
     16100   2602.5826     -12479.7        4372.7599     -137168.33    
     16200   2529.968      -2472.6258      4363.8172     -137168.7     
     16300   2459.9712     -1415.1533      4372.5906     -137168.32    
     16400   2350.0196     -1796.3418      4391.4989     -137166.26    
     16500   2570.7259     -8273.5722      4411.6997     -137164.88    
     16600   2660.1025      1628.1523      4392.6286     -137163.79    
     16700   2492.6147      4448.766       4389.3604     -137163       
     16800   2374.2881     -6579.6943      4391.1912     -137165.58    
     16900   2386.923      -2758.7625      4334.7855     -137169.44    
     17000   2344.9003      8120.3445      4269.3898     -137170.3     
     17100   2447.096       18105.638      4251.7639     -137171.15    
     17200   2627.1502      1256.2407      4312.8067     -137171.7     
     17300   2599.0509     -9838.4325      4421.3118     -137166.19    
     17400   2540.8606     -18298.203      4510.4465     -137161.26    
     17500   2620.9542     -5332.9419      4504.6355     -137163.06    
     17600   2212.1834      3092.6028      4439.6404     -137159.78    
     17700   2301.112       5460.2267      4361.6581     -137166.43    
     17800   2361.1354      13578.216      4306.8021     -137165.56    
     17900   2655.6205      5640.8588      4306.6305     -137165.39    
     18000   2728.3355     -3208.3063      4344.1723     -137167.93    
     18100   2359.9138      5644.7747      4403.3159     -137163       
     18200   2444.3281     -11138.413      4485.6486     -137163.95    
     18300   2519.2012     -11666.46       4490.3504     -137161       
     18400   2780.9411      1305.8058      4417.5446     -137164.69    
     18500   2557.0123      9786.3543      4355.5601     -137166.73    
     18600   2487.9693     -2600.6945      4328.3589     -137170.36    
     18700   2447.2249      3653.414       4311.189      -137168.6     
     18800   2699.1029     -2808.2994      4322.5906     -137170.83    
     18900   2568.7445     -349.4445       4363.2322     -137168.02    
     19000   2454.1845     -19683.342      4404.4995     -137173.31    
     19100   2213.1697     -5815.7865      4354.4326     -137168.74    
     19200   2305.7125      6453.1113      4258.2181     -137165.49    
     19300   2733.5932      13331.549      4169.5802     -137175.22    
     19400   2496.3828      5387.6994      4176.7843     -137173.08    
     19500   2386.6662     -1951.6374      4267.4859     -137173.05    
     19600   2483.5707     -256.53739      4359.8418     -137170.69    
     19700   2510.136       4183.8628      4446.1174     -137161.83    
     19800   2395.0498     -651.44698      4534.0265     -137158.92    
     19900   2392.8113     -14469.969      4589.7852     -137161.87    
     20000   2294.7363     -15524.978      4548.2824     -137161.54    
     20100   2635.9702      4641.9675      4416.4851     -137162.73    
     20200   2755.9912      8294.9936      4304.1736     -137165.92    
     20300   2488.0833      7794.589       4272.6721     -137167.18    
     20400   2375.234       3969.6867      4320.9038     -137167.13    
     20500   2445.9872     -8763.5902      4391.6574     -137168.06    
     20600   2565.0481     -9163.6467      4424.3034     -137165.23    
     20700   2621.7932      10137.943      4405.0204     -137160.25    
     20800   2583.2262     -5771.1045      4411.9559     -137163.72    
     20900   2235.3962      9772.977       4414.1331     -137163.77    
     21000   2225.2945      4709.4932      4417.8571     -137161.68    
     21100   2497.6377     -637.84085      4415.074      -137163.29    
     21200   2716.759       3883.7217      4413.3963     -137166.19    
     21300   2367.1888      492.414        4440.6722     -137161.99    
     21400   2330.047      -5940.5295      4458.4603     -137168.5     
     21500   2306.4673     -15889.445      4423.9682     -137171.95    
     21600   2419.1091      3745.2214      4348.294      -137164.42    
     21700   2784.4279      10683.652      4318.807      -137171.31    
     21800   2421.8655     -1972.7276      4354.6565     -137167.47    
     21900   2320.6146     -7546.8607      4402.4134     -137166.17    
     22000   2501.262      -11411.386      4419.7177     -137163.36    
     22100   2718.8935      11404.286      4390.1636     -137165.27    
     22200   2501.2967     -16088.918      4407.1883     -137162.34    
     22300   2556.0093      6520.0401      4373.0056     -137167.45    
     22400   2360.6293     -4952.0448      4349.7449     -137168.77    
     22500   2268.1907     -881.88074      4293.9024     -137168.18    
     22600   2522.5109      3831.1529      4228.1358     -137169       
     22700   2987.6014      6714.563       4214.1088     -137170.26    
     22800   2502.1282      5711.4749      4285.1381     -137164.85    
     22900   2334.3184     -9007.0162      4396.876      -137166.35    
     23000   2411.1728     -6849.7425      4452.4644     -137165.56    
     23100   2664.5342     -7842.2497      4459.4204     -137166.05    
     23200   2288.9553     -3136.1489      4440.7811     -137155.11    
     23300   2511.1241      561.88453      4396.927      -137165.9     
     23400   2219.5616      6155.3051      4357.0889     -137166.85    
     23500   2366.9782      3705.9164      4337.2181     -137169.74    
     23600   2506.2825      9737.1648      4333.0995     -137167.12    
     23700   2478.4295     -5280.9491      4376.443      -137162.31    
     23800   2563.2003     -1493.6033      4402.5005     -137164.23    
     23900   2474.2378     -9747.7144      4426.5975     -137163.25    
     24000   2432.4406     -10412.96       4422.6288     -137165.63    
     24100   2470.3868      1968.321       4378.2396     -137166.56    
     24200   2482.3376      1912.3171      4344.3188     -137167.32    
     24300   2306.4083     -2494.3445      4323.5607     -137166.7     
     24400   2479.7123      1912.9303      4292.6744     -137171.6     
     24500   2534.7386     -100.38214      4280.5815     -137166.82    
     24600   2894.4202     -225.89016      4299.1566     -137172.39    
     24700   2385.8977     -2089.7865      4331.9489     -137166.58    
     24800   2408.3315     -3120.9162      4349.4933     -137167.98    
     24900   2498.9899      1712.9398      4389.0589     -137166.43    
     25000   2503.2636     -1766.7908      4449.2859     -137164.38    
     25100   2516.8661     -9785.9551      4491.2971     -137163.7     
     25200   2719.3016     -3660.0668      4485.1326     -137163.27    
     25300   2742.618      -4041.8242      4463.4436     -137161.84    
     25400   2483.0001     -1634.7433      4421.6126     -137163.45    
     25500   2426.2764      1835.5544      4372.4436     -137167.54    
     25600   2439.7502     -128.02266      4340.3413     -137169.69    
     25700   2534.9311     -1338.9524      4303.4243     -137172.14    
     25800   2592.5079      10739.485      4275.6923     -137167.83    
     25900   2786.9623      1334.0222      4328.7069     -137168.05    
     26000   2435.6728     -5679.4205      4450.538      -137165.03    
     26100   2316.0201     -13629.084      4547.6605     -137163.79    
     26200   2406.1957     -1719.5945      4539.774      -137158.77    
     26300   2579.0986     -1384.867       4497.309      -137161.26    
     26400   2545.0909     -1026.4833      4429.3308     -137165.27    
     26500   2491.6444      127.22878      4364.562      -137169.94    
     26600   2522.2906     -7030.4398      4324.9357     -137171.08    
     26700   2516.0695      1902.0837      4255.6014     -137168.12    
     26800   2687.0948      19404.835      4215.0024     -137166.61    
     26900   2632.9716     -4472.6867      4303.5339     -137165.55    
     27000   2336.6639     -6664.0612      4399.6647     -137165.09    
     27100   2508.3059     -15124.937      4457.1481     -137168.57    
     27200   2407.0606      9461.2728      4485.5361     -137160.31    
     27300   2493.4823     -8257.7222      4560.5869     -137159.43    
     27400   2574.4272     -4363.2758      4562.9562     -137160.51    
     27500   2618.6185     -4535.8512      4502.9405     -137161.92    
     27600   2523.172      -1910.0497      4432.4858     -137167.4     
     27700   2360.3056     -2351.0379      4368.8306     -137169.48    
     27800   2344.0801      13642.253      4295.961      -137168.29    
     27900   2362.7641      15792.148      4259.9841     -137164.15    
     28000   2511.9238      4280.5813      4286.5933     -137163.81    
     28100   2640.5876     -376.48185      4332.0102     -137167.99    
     28200   2481.4254     -3569.9567      4371.5677     -137171.68    
     28300   2301.0946     -4053.616       4391.2511     -137168.54    
     28400   2639.7877      702.94858      4390.1215     -137172.81    
     28500   2580.8409     -6387.9442      4409.8229     -137166.73    
     28600   2758.1767      4382.3968      4404.0426     -137164.13    
     28700   2783.5555      5522.3011      4408.4986     -137162.33    
     28800   2490.2473     -10954.365      4458.0801     -137165.86    
     28900   2353.7886     -7233.2298      4470.1644     -137163.32    
     29000   2471.9024      8975.6279      4422.9712     -137160.93    
     29100   2730.4497     -245.51112      4389.8705     -137165.94    
     29200   2421.207      -3641.8355      4367.7262     -137165.04    
     29300   2407.2056      4247.6949      4329.9537     -137167.16    
     29400   2432.6361     -7603.9556      4304.273      -137166.33    
