LAMMPS (12 Jun 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.010294123 0.010294123 0.010294123) to (16.282706 16.282706 16.282706)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  216 atoms
  reading velocities ...
  216 velocities
  read_data CPU = 0.147 seconds
The scaling is : 2.85e-02.
There are 2 species.
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.7
  ghost atom cutoff = 7.7
  binsize = 3.85, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mtp, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.076 | 3.077 | 3.077 Mbytes
   Step          Temp          Press          Volume         PotEng    
         0   2385.8495     -1856.3924      4308.7944     -137161.48    
       100   2512.5595     -650.85089      4307.1923     -137162.77    
       200   2676.9         6870.2084      4306.7493     -137159.5     
       300   2850.5194      3080.5294      4346.7296     -137161.19    
       400   2371.8509     -3568.5757      4419.4424     -137160.31    
       500   2428.3662     -3823.208       4489.6003     -137159.53    
       600   2562.0082     -4514.4566      4530.7074     -137156.42    
       700   2461.4557     -783.31817      4509.8189     -137153.23    
       800   2368.2281      7244.9444      4445.9206     -137155.51    
       900   2328.7115      10559.687      4408.1343     -137161.8     
      1000   2188.2942      5760.3109      4418.9786     -137160.14    
      1100   2426.7761     -8185.0473      4415.8422     -137154.82    
      1200   2539.9777      2196.2462      4364.8067     -137154.83    
      1300   2457.3412      1459.1804      4310.0461     -137157.29    
      1400   2415.0064      10254.301      4267.4774     -137161.8     
      1500   2490.3776     -1101.6827      4271.0518     -137165.05    
      1600   2563.3782      97.647059      4274.7746     -137163.45    
      1700   2750.4356      13254.965      4284.2209     -137159.41    
      1800   2760.6647     -19694.826      4363.4132     -137163.91    
      1900   2440.8126      5095.6325      4401.8066     -137161.74    
      2000   2339.5843     -2826.2615      4448.1996     -137159.76    
      2100   2575.2788     -9963.019       4466.2459     -137161.86    
      2200   2702.0948      542.83573      4444.2709     -137159.54    
      2300   2350.9492      5787.6418      4409.9366     -137154.19    
      2400   2230.4824     -4912.9142      4357.8361     -137161.53    
      2500   2351.4491      14473.127      4259.3293     -137163.08    
      2600   2602.3814      8627.3752      4219.885      -137166.1     
      2700   2478.6101      3605.5187      4246.9407     -137162.19    
      2800   2250.9418      3736.78        4298.0931     -137161.82    
      2900   2199.8583     -7079.1795      4367.0002     -137163.95    
      3000   2447.2278     -1499.5577      4410.8266     -137161.62    
      3100   2493.8334     -8458.2643      4436.2787     -137158.44    
      3200   2558.3494     -1443.7592      4418.8334     -137158.11    
      3300   2559.0893      6880.9336      4386.5155     -137157.9     
      3400   2298.1492      14771.11       4374.0255     -137159.24    
      3500   2268.6057     -1353.2247      4408.8275     -137159.45    
      3600   2261.5098     -3504.2173      4422.323      -137153.33    
      3700   2560.3004     -2083.054       4373.0262     -137158.37    
      3800   2540.3031      15526.91       4302.1012     -137160.31    
      3900   2357.7199      7149.6901      4298.4326     -137161.82    
      4000   2564.5768     -57.030209      4318.9505     -137168.54    
      4100   2500.2804      1658.6716      4328.8373     -137164.75    
      4200   2490.8669      4424.1389      4356.9564     -137162.62    
      4300   2331.1266      5881.3036      4398.2779     -137156.16    
      4400   2584.3699      5306.2559      4443.063      -137160.88    
      4500   2448.3731     -14608.494      4530.5166     -137155.23    
      4600   2678.117      -8974.6682      4564.5496     -137152.44    
      4700   2567.2709     -1624.734       4536.188      -137151.89    
      4800   2391.7064     -11209.854      4473.82       -137155.87    
      4900   2554.4306     -2306.8222      4349.8731     -137162.18    
      5000   2621.0036      11819.624      4217.2367     -137166.17    
      5100   2533.6744      13080.782      4163.1351     -137170.19    
      5200   2211.0603      14344.425      4195.7929     -137165.76    
      5300   2161.8504      4455.2287      4277.7348     -137160.78    
      5400   2333.1114     -5051.0606      4341.2761     -137160.32    
      5500   2475.5902      7115.1734      4384.112      -137156.8     
      5600   2552.9013     -2454.0104      4436.1907     -137155.98    
      5700   2490.0184     -4950.6896      4455.621      -137159.26    
      5800   2361.9656     -3794.2289      4435.2223     -137159.62    
      5900   2559.9053     -209.16612      4396.5783     -137161.29    
      6000   2728.2148      15399.946      4363.3562     -137153.26    
      6100   2641.6762      4565.7116      4394.1374     -137155.08    
      6200   2415.4332      1638.5332      4453.4884     -137153.84    
      6300   2476.6926     -8034.1585      4493.9968     -137157.28    
      6400   2458.4508     -5065.9692      4457.6291     -137159.19    
      6500   2330.0632      3589.2759      4398.5365     -137161.36    
      6600   2371.1328      2322.7068      4370.4821     -137164.98    
      6700   2489.8525      3477.5356      4352.2206     -137160.32    
      6800   2714.6389     -1502.3789      4358.2133     -137161.27    
      6900   2455.0743     -4116.4251      4377.934      -137155.45    
      7000   2655.3451      359.39514      4376.2942     -137161.95    
      7100   2376.7851     -4914.7621      4383.5566     -137161.65    
      7200   2188.2434     -1042.41        4370.2253     -137162.97    
      7300   2351.6308      2535.3257      4338.0811     -137162.21    
      7400   2569.1456      3693.558       4322.1684     -137163.64    
      7500   2498.1089     -8684.6107      4335.9443     -137159.82    
      7600   2516.5829      3022.1397      4329.089      -137157.3     
      7700   2709.4195      8022.625       4340.2759     -137161.1     
      7800   2358.9543     -2107.3751      4399.4004     -137159.96    
      7900   2238.6822     -14504.279      4441.4291     -137157.81    
      8000   2633.3508     -10417.964      4387.6311     -137161.24    
      8100   2807.5001      749.97133      4307.0868     -137165.31    
      8200   2589.3772      11302.177      4279.9831     -137164.19    
      8300   2438.1699      3209.9773      4326.7945     -137163.63    
      8400   2288.8486     -2777.3885      4371.2905     -137159.43    
      8500   2491.4912     -4566.8795      4369.1923     -137160.08    
      8600   2521.4203      4113.7691      4325.8707     -137159.85    
      8700   2492.1668     -7728.7246      4314.5329     -137158.71    
      8800   2567.2501      1403.919       4305.7728     -137162.71    
      8900   2379.3837     -3548.9658      4296.9329     -137162.24    
      9000   2251.2691      6875.1516      4270.6638     -137161.76    
      9100   2367.9388      9977.3753      4281.2776     -137161.89    
      9200   2590.3344      2945.2578      4343.4363     -137160.44    
      9300   2553.3667     -1632.4159      4409.5316     -137160.16    
      9400   2301.3841     -5801.2399      4445.8038     -137156.6     
      9500   2372.1035     -5264.1808      4426.4084     -137161.78    
      9600   2442.4329     -5068.7483      4384.708      -137160.34    
      9700   2644.7518      10129.641      4341.458      -137159.61    
      9800   2444.5594      35.58359       4351.3963     -137155.26    
      9900   2401.682      -6053.9105      4357.3264     -137162.82    
     10000   2332.734       2223.0635      4310.1516     -137163.49    
     10100   2512.7418      3940.8566      4234.231      -137166.7     
     10200   2478.7944      15905.778      4183.0108     -137164.63    
     10300   2566.2693      465.48623      4220.0948     -137167.13    
     10400   2485.687       3.6176183      4312.5728     -137162.13    
     10500   2658.729      -6526.5193      4425.237      -137158.52    
