# Time(ps)    MSD_potential 22(A^2)    MSD_potential 26(A^2)    MSD_pruned_1(A^2)    MSD_pruned_2(A^2)    MSD_pruned_3(A^2)
      0.0000       0.0000       0.0000       0.0000       0.0000       0.0000
      0.1000       1.3243       1.3479       1.3346       1.3089       1.3470
      0.2000       3.4936       3.4429       3.2699       3.4035       3.3189
      0.3000       5.8988       5.6569       5.4801       5.6315       5.4169
      0.4000       8.3087       8.1855       7.9348       7.7497       8.0639
      0.5000      11.0675      11.1436      10.1640      10.0607      10.7821
      0.6000      13.9109      13.7139      12.6927      12.4223      13.3470
      0.7000      17.0965      16.1266      15.1580      15.2355      15.9585
      0.8000      19.5115      19.4942      17.6639      18.3550      18.6057
      0.9000      22.4116      22.9842      20.0194      20.9144      21.2056
      1.0000      25.1852      26.3197      23.0464      24.0173      24.4713
      1.1000      28.5000      29.8726      25.5103      26.6117      27.2035
      1.2000      30.9366      32.4693      27.9772      28.5606      29.6865
      1.3000      33.4561      34.7896      30.9617      30.1344      32.7487
      1.4000      35.9206      37.6488      33.0944      32.7452      35.3029
      1.5000      38.3973      40.7088      34.5635      35.8206      37.6117
      1.6000      41.1571      43.2884      36.5690      38.2173      40.9790
      1.7000      42.7407      45.1387      38.8217      39.9886      43.7492
      1.8000      45.8030      46.6335      41.0150      41.8423      45.9950
      1.9000      49.1574      48.4319      43.6473      44.1807      47.6952
      2.0000      52.5175      50.8883      46.9238      46.5192      51.0845
      2.1000      56.3287      53.3288      49.9220      49.6777      53.4100
      2.2000      60.2905      55.5319      52.6798      52.6008      56.1508
      2.3000      63.9727      58.6090      56.0902      56.6175      59.0999
      2.4000      66.0501      61.3636      59.4403      59.8580      62.1669
      2.5000      68.9815      62.8629      62.8517      63.3606      64.0940
      2.6000      71.7382      64.9131      65.5132      66.9570      67.2307
      2.7000      75.7565      68.0935      68.3231      69.8095      70.5828
      2.8000      78.7457      72.1126      70.6781      72.6155      74.1841
      2.9000      79.6703      76.0704      73.2968      74.6222      77.5841
      3.0000      81.3495      79.5171      76.1722      75.9920      81.6436
      3.1000      85.1773      82.1751      79.6661      79.4160      85.9777
      3.2000      87.4196      84.5912      83.2003      82.4591      89.6220
      3.3000      89.0961      87.3852      86.3326      85.8206      93.2479
      3.4000      91.2619      87.9976      88.9083      87.6945      96.1493
      3.5000      96.0293      89.6567      89.7244      88.9759      97.6909
      3.6000     100.7639      90.9512      92.2039      91.9205      99.1511
      3.7000     105.5374      92.3283      94.0356      94.6799     101.4553
