# Time(ps)    MSD_22.almtp(A^2)    MSD_pruned_1(A^2)    MSD_pruned_2(A^2)    MSD_pruned_3(A^2)
      0.0000       0.0000       0.0000       0.0000       0.0000
      0.1000       0.0690       0.0702       0.0623       0.0592
      0.2000       0.0556       0.0635       0.0482       0.0523
      0.3000       0.0590       0.0593       0.0451       0.0454
      0.4000       0.0566       0.0540       0.0426       0.0411
      0.5000       0.0434       0.0493       0.0408       0.0461
      0.6000       0.0488       0.0564       0.0489       0.0437
      0.7000       0.0465       0.0474       0.0466       0.0469
      0.8000       0.0547       0.0577       0.0437       0.0445
      0.9000       0.0540       0.0695       0.0431       0.0481
      1.0000       0.0404       0.0756       0.0499       0.0405
      1.1000       0.0442       0.0562       0.0395       0.0474
      1.2000       0.0585       0.0500       0.0422       0.0497
      1.3000       0.0577       0.0566       0.0479       0.0498
      1.4000       0.0542       0.0603       0.0418       0.0381
      1.5000       0.0491       0.0537       0.0411       0.0450
      1.6000       0.0504       0.0538       0.0418       0.0496
      1.7000       0.0476       0.0500       0.0445       0.0509
      1.8000       0.0496       0.0550       0.0436       0.0490
      1.9000       0.0539       0.0541       0.0457       0.0467
      2.0000       0.0577       0.0559       0.0487       0.0417
      2.1000       0.0584       0.0554       0.0513       0.0485
      2.2000       0.0524       0.0580       0.0483       0.0465
      2.3000       0.0859       0.0499       0.0410       0.0569
      2.4000       0.0527       0.0567       0.0457       0.0474
      2.5000       0.0653       0.0601       0.0543       0.0438
      2.6000       0.0556       0.0509       0.0402       0.0437
      2.7000       0.0517       0.0550       0.0435       0.0442
      2.8000       0.0437       0.0550       0.0440       0.0566
      2.9000       0.0458       0.0518       0.0452       0.0570
      3.0000       0.0467       0.0591       0.0564       0.0498
      3.1000       0.0548       0.0534       0.0486       0.0486
      3.2000       0.0572       0.0542       0.0508       0.0384
      3.3000       0.0441       0.0516       0.0481       0.0440
      3.4000       0.0476       0.0604       0.0513       0.0606
      3.5000       0.0477       0.0638       0.0538       0.0543
      3.6000       0.0550       0.0564       0.0463       0.0417
      3.7000       0.0529       0.0532       0.0549       0.0450
      3.8000       0.0499       0.0552       0.0539       0.0409
      3.9000       0.0445       0.0567       0.0559       0.0480
      4.0000       0.0553       0.0646       0.0479       0.0469
      4.1000       0.0513       0.0623       0.0485       0.0459
      4.2000       0.0519       0.0478       0.0454       0.0515
      4.3000       0.0482       0.0537       0.0547       0.0441
      4.4000       0.0560       0.0458       0.0580       0.0593
      4.5000       0.0513       0.0569       0.0537       0.0431
      4.6000       0.0511       0.0565       0.0555       0.0486
      4.7000       0.0489       0.0531       0.0506       0.0481
      4.8000       0.0449       0.0572       0.0496       0.0513
      4.9000       0.0466       0.0538       0.0574       0.0526
      5.0000       0.0552       0.0547       0.0446       0.0439
      5.1000       0.0492       0.0560       0.0477       0.0467
      5.2000       0.0471       0.0565       0.0526       0.0481
      5.3000       0.0460       0.0466       0.0508       0.0514
      5.4000       0.0535       0.0591       0.0552       0.0611
      5.5000       0.0594       0.0591       0.0477       0.0561
      5.6000       0.0410       0.0542       0.0539       0.0455
      5.7000       0.0515       0.0488       0.0526       0.0507
      5.8000       0.0488       0.0517       0.0503       0.0489
      5.9000       0.0522       0.0656       0.0542       0.0421
      6.0000       0.0544       0.0566       0.0463       0.0555
      6.1000       0.0406       0.0535       0.0491       0.0562
      6.2000       0.0446       0.0497       0.0524       0.0443
      6.3000       0.0514       0.0507       0.0438       0.0465
      6.4000       0.0415       0.0613       0.0547       0.0452
      6.5000       0.0592       0.0514       0.0503       0.0441
      6.6000       0.0496       0.0471       0.0544       0.0513
      6.7000       0.0420       0.0594       0.0539       0.0554
      6.8000       0.0524       0.0565       0.0524       0.0470
      6.9000       0.0427       0.0601       0.0450       0.0490
      7.0000       0.0549       0.0545       0.0563       0.0610
      7.1000       0.0512       0.0568       0.0447       0.0451
      7.2000       0.0507       0.0516       0.0531       0.0555
      7.3000       0.0468       0.0472       0.0496       0.0578
      7.4000       0.0546       0.0508       0.0500       0.0548
      7.5000       0.0445       0.0494       0.0495       0.0518
      7.6000       0.0515       0.0522       0.0535       0.0590
      7.7000       0.0672       0.0506       0.0520       0.0649
      7.8000       0.0502       0.0457       0.0511       0.0613
      7.9000       0.0578       0.0462       0.0478       0.0548
      8.0000       0.0547       0.0470       0.0520       0.0553
      8.1000       0.0535       0.0558       0.0497       0.0534
      8.2000       0.0558       0.0506       0.0506       0.0481
      8.3000       0.0544       0.0518       0.0462       0.0500
      8.4000       0.0556       0.0544       0.0526       0.0472
      8.5000       0.0493       0.0497       0.0539       0.0633
      8.6000       0.0454       0.0519       0.0456       0.0492
      8.7000       0.0481       0.0534       0.0504       0.0560
      8.8000       0.0462       0.0493       0.0498       0.0448
      8.9000       0.0535       0.0498       0.0495       0.0520
      9.0000       0.0492       0.0543       0.0517       0.0460
      9.1000       0.0506       0.0478       0.0540       0.0499
      9.2000       0.0428       0.0624       0.0536       0.0517
      9.3000       0.0499       0.0551       0.0480       0.0479
      9.4000       0.0503       0.0487       0.0471       0.0515
      9.5000       0.0538       0.0460       0.0552       0.0490
      9.6000       0.0491       0.0474       0.0504       0.0620
      9.7000       0.0486       0.0533       0.0570       0.0684
      9.8000       0.0389       0.0511       0.0483       0.0620
      9.9000       0.0506       0.0575       0.0454       0.0512
     10.0000       0.0541       0.0498       0.0513       0.0543
     10.1000       0.0500       0.0548       0.0526       0.0532
     10.2000       0.0624       0.0514       0.0490       0.0476
     10.3000       0.0497       0.0535       0.0544       0.0481
     10.4000       0.0518       0.0585       0.0488       0.0509
     10.5000       0.0476       0.0469       0.0506       0.0391
     10.6000       0.0497       0.0500       0.0504       0.0464
     10.7000       0.0474       0.0640       0.0508       0.0486
     10.8000       0.0482       0.0560       0.0489       0.0471
     10.9000       0.0512       0.0507       0.0563       0.0478
     11.0000       0.0543       0.0628       0.0462       0.0505
     11.1000       0.0442       0.0414       0.0417       0.0417
     11.2000       0.0541       0.0512       0.0577       0.0427
     11.3000       0.0601       0.0594       0.0514       0.0420
     11.4000       0.0581       0.0518       0.0529       0.0463
     11.5000       0.0674       0.0516       0.0495       0.0452
     11.6000       0.0621       0.0523       0.0460       0.0477
     11.7000       0.0569       0.0544       0.0576       0.0483
     11.8000       0.0499       0.0495       0.0521       0.0526
     11.9000       0.0559       0.0457       0.0484       0.0480
     12.0000       0.0524       0.0551       0.0471       0.0377
     12.1000       0.0555       0.0626       0.0597       0.0444
     12.2000       0.0466       0.0485       0.0517       0.0510
     12.3000       0.0599       0.0499       0.0521       0.0458
     12.4000       0.0588       0.0593       0.0506       0.0440
     12.5000       0.0517       0.0568       0.0505       0.0497
     12.6000       0.0531       0.0508       0.0549       0.0465
     12.7000       0.0465       0.0519       0.0503       0.0450
     12.8000       0.0552       0.0458       0.0667       0.0451
     12.9000       0.0531       0.0489       0.0488       0.0475
     13.0000       0.0471       0.0517       0.0488       0.0440
     13.1000       0.0494       0.0565       0.0480       0.0477
     13.2000       0.0468       0.0541       0.0500       0.0464
     13.3000       0.0560       0.0538       0.0543       0.0534
     13.4000       0.0497       0.0516       0.0501       0.0434
     13.5000       0.0454       0.0443       0.0483       0.0462
     13.6000       0.0534       0.0611       0.0480       0.0465
     13.7000       0.0418       0.0533       0.0607       0.0410
     13.8000       0.0594       0.0542       0.0468       0.0485
     13.9000       0.0566       0.0558       0.0500       0.0454
     14.0000       0.0513       0.0489       0.0523       0.0478
     14.1000       0.0435       0.0450       0.0456       0.0515
     14.2000       0.0435       0.0483       0.0534       0.0395
     14.3000       0.0550       0.0604       0.0510       0.0505
     14.4000       0.0474       0.0516       0.0452       0.0496
     14.5000       0.0513       0.0577       0.0566       0.0456
     14.6000       0.0477       0.0439       0.0483       0.0434
     14.7000       0.0489       0.0624       0.0493       0.0447
     14.8000       0.0461       0.0529       0.0526       0.0497
     14.9000       0.0494       0.0510       0.0426       0.0448
     15.0000       0.0496       0.0462       0.0570       0.0421
     15.1000       0.0643       0.0517       0.0596       0.0477
     15.2000       0.0556       0.0550       0.0515       0.0393
     15.3000       0.0546       0.0591       0.0452       0.0477
     15.4000       0.0435       0.0487       0.0498       0.0508
     15.5000       0.0589       0.0431       0.0559       0.0501
     15.6000       0.0528       0.0479       0.0523       0.0368
     15.7000       0.0637       0.0512       0.0626       0.0462
     15.8000       0.0526       0.0522       0.0534       0.0458
     15.9000       0.0487       0.0538       0.0614       0.0505
     16.0000       0.0418       0.0539       0.0495       0.0496
     16.1000       0.0493       0.0579       0.0514       0.0435
     16.2000       0.0561       0.0517       0.0583       0.0450
     16.3000       0.0406       0.0486       0.0516       0.0471
     16.4000       0.0441       0.0513       0.0547       0.0427
     16.5000       0.0484       0.0514       0.0499       0.0486
     16.6000       0.0475       0.0538       0.0522       0.0593
     16.7000       0.0488       0.0556       0.0490       0.0518
     16.8000       0.0512       0.0570       0.0444       0.0422
     16.9000       0.0453       0.0605       0.0437       0.0464
     17.0000       0.0485       0.0582       0.0527       0.0501
     17.1000       0.0407       0.0565       0.0499       0.0475
     17.2000       0.0498       0.0572       0.0468       0.0767
     17.3000       0.0488       0.0468       0.0494       0.0721
     17.4000       0.0466       0.0537       0.0441       0.0587
     17.5000       0.0426       0.0514       0.0512       0.0566
     17.6000       0.0481       0.0619       0.0513       0.0459
     17.7000       0.0447       0.0598       0.0440       0.0622
     17.8000       0.0454       0.0556       0.0498       0.0607
     17.9000       0.0488       0.0557       0.0454       0.0583
     18.0000       0.0560       0.0560       0.0444       0.0437
     18.1000       0.0490       0.0466       0.0549       0.0473
     18.2000       0.0445       0.0440       0.0486       0.0490
     18.3000       0.0423       0.0488       0.0526       0.0534
     18.4000       0.0517       0.0641       0.0460       0.0460
     18.5000       0.0510       0.0430       0.0495       0.0507
     18.6000       0.0479       0.0463       0.0463       0.0536
     18.7000       0.0406       0.0545       0.0514       0.0436
     18.8000       0.0425       0.0638       0.0531       0.0537
     18.9000       0.0481       0.0579       0.0434       0.0492
     19.0000       0.0486       0.0521       0.0567       0.0425
     19.1000       0.0533       0.0499       0.0512       0.0559
     19.2000       0.0447       0.0515       0.0491       0.0471
     19.3000       0.0506       0.0489       0.0480       0.0470
     19.4000       0.0492       0.0564       0.0528       0.0507
     19.5000       0.0518       0.0583       0.0456       0.0401
     19.6000       0.0507       0.0563       0.0456       0.0505
     19.7000       0.0456       0.0432       0.0525       0.0489
     19.8000       0.0477       0.0479       0.0475       0.0461
     19.9000       0.0452       0.0600       0.0441       0.0528
     20.0000       0.0439       0.0577       0.0451       0.0453
     20.1000       0.0472       0.0579       0.0493       0.0469
     20.2000       0.0442       0.0521       0.0486       0.0470
     20.3000       0.0493       0.0562       0.0537       0.0431
     20.4000       0.0465       0.0524       0.0438       0.0482
     20.5000       0.0443       0.0517       0.0463       0.0447
     20.6000       0.0494       0.0563       0.0459       0.0549
     20.7000       0.0442       0.0602       0.0436       0.0459
     20.8000       0.0516       0.0600       0.0526       0.0457
     20.9000       0.0464       0.0512       0.0451       0.0540
     21.0000       0.0455       0.0535       0.0472       0.0407
     21.1000       0.0513       0.0502       0.0441       0.0481
     21.2000       0.0480       0.0673       0.0451       0.0518
     21.3000       0.0556       0.0681       0.0495       0.0488
     21.4000       0.0519       0.0685       0.0491       0.0472
     21.5000       0.0455       0.0658       0.0443       0.0533
     21.6000       0.0438       0.0585       0.0469       0.0452
     21.7000       0.0498       0.0428       0.0473       0.0517
     21.8000       0.0615       0.0498       0.0530       0.0392
     21.9000       0.0553       0.0533       0.0468       0.0515
     22.0000       0.0561       0.0571       0.0387       0.0505
     22.1000       0.0433       0.0499       0.0502       0.0599
     22.2000       0.0448       0.0580       0.0524       0.0453
     22.3000       0.0461       0.0537       0.0495       0.0479
     22.4000       0.0482       0.0437       0.0448       0.0509
