# Radius(A)    g_rdf_hold_216_22    g_hold_P26_rdf_216    g_hold_pruned1_rdf_216    g_hold_pruned2_rdf_216    g_hold_pruned3_rdf_216
      0.0400       0.0000       0.0000       0.0000       0.0000       0.0000
      0.1200       0.0000       0.0000       0.0000       0.0000       0.0000
      0.2000       0.0000       0.0000       0.0000       0.0000       0.0000
      0.2800       0.0000       0.0000       0.0000       0.0000       0.0000
      0.3600       0.0000       0.0000       0.0000       0.0000       0.0000
      0.4400       0.0000       0.0000       0.0000       0.0000       0.0000
      0.5200       0.0000       0.0000       0.0000       0.0000       0.0000
      0.6000       0.0000       0.0000       0.0000       0.0000       0.0000
      0.6800       0.0000       0.0000       0.0000       0.0000       0.0000
      0.7600       0.0000       0.0000       0.0000       0.0000       0.0000
      0.8400       0.0000       0.0000       0.0000       0.0000       0.0000
      0.9200       0.0000       0.0000       0.0000       0.0000       0.0000
      1.0000       0.0000       0.0000       0.0000       0.0000       0.0000
      1.0800       0.0000       0.0000       0.0000       0.0000       0.0000
      1.1600       0.0000       0.0000       0.0000       0.0000       0.0000
      1.2400       0.0000       0.0000       0.0000       0.0000       0.0000
      1.3200       0.0000       0.0000       0.0000       0.0000       0.0000
      1.4000       0.0000       0.0000       0.0000       0.0000       0.0000
      1.4800       0.0000       0.0000       0.0000       0.0000       0.0000
      1.5600       0.0000       0.0000       0.0000       0.0000       0.0000
      1.6400       0.0000       0.0000       0.0000       0.0000       0.0000
      1.7200       0.0000       0.0000       0.0000       0.0000       0.0000
      1.8000       0.0000       0.0000       0.0000       0.0000       0.0000
      1.8800       0.0009       0.0009       0.0007       0.0007       0.0007
      1.9600       0.0142       0.0127       0.0116       0.0127       0.0124
      2.0400       0.0993       0.0961       0.0896       0.0956       0.0938
      2.1200       0.3727       0.3667       0.3574       0.3597       0.3602
      2.2000       0.8746       0.8673       0.8497       0.8514       0.8554
      2.2800       1.4342       1.4271       1.4045       1.4144       1.4170
      2.3600       1.8353       1.8310       1.8022       1.8259       1.8213
      2.4400       1.9805       1.9715       1.9610       1.9923       1.9703
      2.5200       1.9000       1.9015       1.9033       1.9324       1.9057
      2.6000       1.7127       1.7102       1.7451       1.7564       1.7351
      2.6800       1.4954       1.5023       1.5460       1.5412       1.5258
      2.7600       1.3044       1.3181       1.3580       1.3435       1.3425
      2.8400       1.1558       1.1784       1.1945       1.1793       1.1881
      2.9200       1.0496       1.0753       1.0716       1.0558       1.0770
      3.0000       0.9756       1.0018       0.9835       0.9708       0.9970
      3.0800       0.9299       0.9496       0.9249       0.9204       0.9462
      3.1600       0.9124       0.9273       0.8876       0.8907       0.9159
      3.2400       0.9033       0.9124       0.8768       0.8802       0.9018
      3.3200       0.9102       0.9111       0.8791       0.8844       0.9005
      3.4000       0.9222       0.9160       0.8951       0.8977       0.9118
      3.4800       0.9353       0.9284       0.9198       0.9190       0.9269
      3.5600       0.9519       0.9381       0.9465       0.9433       0.9413
      3.6400       0.9688       0.9530       0.9742       0.9668       0.9578
      3.7200       0.9816       0.9683       0.9964       0.9888       0.9751
      3.8000       0.9921       0.9778       1.0141       1.0065       0.9886
      3.8800       1.0002       0.9859       1.0237       1.0197       0.9963
      3.9600       1.0033       0.9966       1.0279       1.0234       0.9993
      4.0400       1.0055       0.9962       1.0250       1.0204       1.0037
      4.1200       1.0042       1.0018       1.0162       1.0154       1.0012
      4.2000       1.0004       0.9997       1.0044       1.0073       0.9979
      4.2800       0.9997       0.9988       0.9977       0.9957       0.9958
      4.3600       0.9961       0.9940       0.9896       0.9887       0.9900
      4.4400       0.9949       0.9932       0.9819       0.9821       0.9883
      4.5200       0.9917       0.9903       0.9804       0.9764       0.9851
      4.6000       0.9902       0.9839       0.9820       0.9748       0.9857
