# Radius(A)    g(r)
      0.0285   26696.7103
      0.0855       0.0000
      0.1425       0.0000
      0.1995       0.0000
      0.2565       0.0000
      0.3135       0.0000
      0.3705       0.0000
      0.4275       0.0000
      0.4845       0.0000
      0.5415       0.0000
      0.5985       0.0000
      0.6555       0.0000
      0.7125       0.0000
      0.7695       0.0000
      0.8265       0.0000
      0.8835       0.0000
      0.9405       0.0000
      0.9975       0.0000
      1.0545       0.0000
      1.1115       0.0000
      1.1685       0.0000
      1.2255       0.0000
      1.2825       0.0000
      1.3395       0.0000
      1.3965       0.0000
      1.4535       0.0000
      1.5105       0.0000
      1.5675       0.0000
      1.6245       0.0000
      1.6815       0.0000
      1.7385       0.0000
      1.7955       0.0000
      1.8525       0.0000
      1.9095       0.0000
      1.9665       0.0028
      2.0235       0.0195
      2.0805       0.0898
      2.1375       0.3052
      2.1945       0.8556
      2.2515       1.8925
      2.3085       3.3031
      2.3655       4.0658
      2.4225       3.4206
      2.4795       2.3041
      2.5365       1.3974
      2.5935       0.9073
      2.6505       0.5858
      2.7075       0.3998
      2.7645       0.2985
      2.8215       0.2324
      2.8785       0.1993
      2.9355       0.1720
      2.9925       0.1710
      3.0495       0.1699
      3.1065       0.1555
      3.1635       0.1604
      3.2205       0.1804
      3.2775       0.1975
      3.3345       0.2227
      3.3915       0.2836
      3.4485       0.3574
      3.5055       0.4940
      3.5625       0.6638
      3.6195       0.9274
      3.6765       1.2873
      3.7335       1.7622
      3.7905       2.2638
      3.8475       2.7099
      3.9045       2.6657
      3.9615       2.3293
      4.0185       1.9225
      4.0755       1.4882
      4.1325       1.2390
      4.1895       1.0527
      4.2465       1.0211
      4.3035       1.0777
      4.3605       1.2367
      4.4175       1.4640
      4.4745       1.6846
      4.5315       1.8602
      4.5885       1.7607
      4.6455       1.5432
      4.7025       1.2566
      4.7595       0.9773
      4.8165       0.7715
      4.8735       0.5975
      4.9305       0.4830
      4.9875       0.4033
      5.0445       0.3674
      5.1015       0.3427
      5.1585       0.3551
      5.2155       0.4015
      5.2725       0.4678
      5.3295       0.5560
      5.3865       0.6560
      5.4435       0.7554
      5.5005       0.7693
      5.5575       0.7687
      5.6145       0.7352
      5.6715       0.7190
