# Radius(A)    g_22.almtp    g_pruned_1    g_pruned_2    g_pruned_3
      0.0400       0.0000       0.0000       0.0000       0.0000
      0.1200       0.0000       0.0000       0.0000       0.0000
      0.2000       0.0000       0.0000       0.0000       0.0000
      0.2800       0.0000       0.0000       0.0000       0.0000
      0.3600       0.0000       0.0000       0.0000       0.0000
      0.4400       0.0000       0.0000       0.0000       0.0000
      0.5200       0.0000       0.0000       0.0000       0.0000
      0.6000       0.0000       0.0000       0.0000       0.0000
      0.6800       0.0000       0.0000       0.0000       0.0000
      0.7600       0.0000       0.0000       0.0000       0.0000
      0.8400       0.0000       0.0000       0.0000       0.0000
      0.9200       0.0000       0.0000       0.0000       0.0000
      1.0000       0.0000       0.0000       0.0000       0.0000
      1.0800       0.0000       0.0000       0.0000       0.0000
      1.1600       0.0000       0.0000       0.0000       0.0000
      1.2400       0.0000       0.0000       0.0000       0.0000
      1.3200       0.0000       0.0000       0.0000       0.0000
      1.4000       0.0000       0.0000       0.0000       0.0000
      1.4800       0.0000       0.0000       0.0000       0.0000
      1.5600       0.0000       0.0000       0.0000       0.0000
      1.6400       0.0000       0.0000       0.0000       0.0000
      1.7200       0.0000       0.0000       0.0000       0.0000
      1.8000       0.0000       0.0000       0.0000       0.0000
      1.8800       0.0000       0.0000       0.0000       0.0000
      1.9600       0.0000       0.0000       0.0000       0.0000
      2.0400       0.0000       0.0000       0.0000       0.0000
      2.1200       0.0007       0.0003       0.0004       0.0004
      2.2000       0.1336       0.1094       0.0926       0.1080
      2.2800       2.4103       2.1538       2.0212       2.1855
      2.3600       6.4639       6.0762       5.9976       6.0732
      2.4400       4.2410       4.3196       4.5545       4.3628
      2.5200       1.0728       1.2918       1.4219       1.3000
      2.6000       0.2002       0.3100       0.3178       0.2734
      2.6800       0.0544       0.1171       0.0896       0.0733
      2.7600       0.0247       0.0604       0.0406       0.0329
      2.8400       0.0194       0.0466       0.0264       0.0247
      2.9200       0.0204       0.0425       0.0240       0.0278
      3.0000       0.0238       0.0500       0.0272       0.0402
      3.0800       0.0352       0.0611       0.0358       0.0620
      3.1600       0.0630       0.0907       0.0696       0.0864
      3.2400       0.1229       0.1515       0.1411       0.1306
      3.3200       0.2318       0.2538       0.2614       0.2394
      3.4000       0.4304       0.4059       0.4544       0.4599
      3.4800       0.7711       0.6762       0.7420       0.7794
      3.5600       1.2336       1.0753       1.1333       1.1450
      3.6400       1.7261       1.5511       1.5459       1.5548
      3.7200       2.1122       1.9880       1.9082       1.9899
      3.8000       2.3166       2.3287       2.1768       2.2765
      3.8800       2.3170       2.4097       2.2789       2.3564
      3.9600       2.1058       2.2544       2.1888       2.2111
      4.0400       1.8247       1.9443       1.9278       1.9501
      4.1200       1.5099       1.6435       1.6329       1.6573
      4.2000       1.2536       1.3737       1.3873       1.3570
      4.2800       1.0628       1.1640       1.1906       1.1360
      4.3600       0.9319       1.0036       1.0693       0.9870
      4.4400       0.8469       0.8984       0.9753       0.9215
      4.5200       0.8108       0.8473       0.9335       0.9044
      4.6000       0.8107       0.8231       0.8975       0.8790
      4.6800       0.8248       0.7956       0.8469       0.8439
      4.7600       0.8164       0.7403       0.7839       0.7884
      4.8400       0.7875       0.6953       0.7159       0.7180
      4.9200       0.7549       0.6598       0.6614       0.6626
      5.0000       0.7226       0.6374       0.6368       0.6184
      5.0800       0.7069       0.6303       0.6322       0.6105
      5.1600       0.7044       0.6395       0.6546       0.6159
      5.2400       0.7218       0.6624       0.6830       0.6267
      5.3200       0.7530       0.7090       0.6989       0.6573
      5.4000       0.7981       0.7783       0.7316       0.7060
      5.4800       0.8548       0.8575       0.7801       0.7852
      5.5600       0.9175       0.9454       0.8762       0.8758
      5.6400       0.9883       1.0249       1.0054       1.0054
      5.7200       1.0759       1.1076       1.1090       1.1234
      5.8000       1.1677       1.1807       1.1396       1.2258
      5.8800       1.2230       1.2053       1.1591       1.2484
      5.9600       1.2094       1.1849       1.1531       1.2169
      6.0400       1.1356       1.1236       1.1308       1.1379
      6.1200       1.0431       1.0563       1.0758       1.0729
      6.2000       0.9577       1.0163       1.0094       1.0227
      6.2800       0.9098       0.9971       0.9596       0.9963
      6.3600       0.9065       0.9917       0.9388       0.9841
      6.4400       0.9272       0.9852       0.9479       0.9882
      6.5200       0.9559       0.9846       0.9716       0.9937
      6.6000       0.9835       0.9911       1.0073       0.9988
      6.6800       0.9989       0.9963       1.0433       1.0058
      6.7600       1.0108       0.9900       1.0621       1.0153
      6.8400       1.0192       0.9740       1.0744       1.0053
      6.9200       1.0302       0.9699       1.0655       1.0021
      7.0000       1.0515       0.9865       1.0630       1.0061
      7.0800       1.0798       1.0163       1.0555       1.0222
      7.1600       1.0970       1.0562       1.0520       1.0396
      7.2400       1.1043       1.0920       1.0419       1.0646
      7.3200       1.1002       1.1247       1.0617       1.0910
      7.4000       1.1001       1.1466       1.0978       1.1139
      7.4800       1.1215       1.1542       1.1352       1.1273
      7.5600       1.1404       1.1370       1.1458       1.1463
      7.6400       1.1374       1.1253       1.1315       1.1446
      7.7200       1.1041       1.1056       1.1060       1.1300
      7.8000       1.0376       1.0803       1.0641       1.0997
      7.8800       0.9936       1.0543       1.0249       1.0684
      7.9600       0.9722       1.0193       0.9818       1.0343
